第一最好不相见,如此便可不相恋。|第二最好不相知,如此便可不相思。
晚安,福州,加油!|晚安,你,加油!
做一个有内涵的人~|做一个有内裤的人
想念你的味道。。。|想念你的笑。。。
内蒙古农业大学|内蒙古皇家农业大学
钓鱼岛是中国的|钓鱼岛永远是中国的
电脑声卡出问题了!|电脑风扇出问题了!
觉得这样很没意思!|我也觉得这样没意思
早起的虫儿有鸟吃~|早起的虫儿被鸟吃…
如萍什么都好,但我的心里只有依萍。|师妃暄什么都好,但我的心里只有绾绾
连续三天这么早醒?有什么办法可以治疗否?[泪][泪][泪]|连续一周这么晚醒?有什么办法可以治疗否?[衰][衰][衰]
[抓狂]goornottogo,thisisaquestions[抓狂][思考]|[偷笑]应该是togoornottogo,thisisaquestion
你以为我在玩~其实我的鸭梨很大~~|你以为我在玩~其实我真的在玩~~~
祝我生日快乐!|生日快乐!!
都有什么星座的|你什么星座的
又不是我的最爱|你是我的最爱
那你知道我的吗|你知道我的痛
决定早点儿休息|早点儿休息好
我一定会考好的|你一定会考好
再见了,得实。|不见了,得实
我的梦才刚刚开始....|你的梦才刚刚开湿...
成天玩网游能有啥出息啊!|成天玩摄影能有啥出息啊
一天的复习,真恶心。。。|睡了一天,真恶心。。。
不能想太多,会被吃掉的|不要吃太多,会被吃掉的。
fuck  you|fuck you too
怀念以前那个肉肉的自己|怀念以前那个瘦瘦的自己。
掐指一算,颓废了一年~|掐指一算,颓废了二十多年
your mothers|Your brother
还记得大明湖畔的夏雨荷吗|还记得大明湖畔的容嬷嬷吗
现实?理想?能力。|现实?理想?能力?男人。
有意义的事就是好好活。|干有意义的事才是好好活!
我叫什么名字|你叫什么名字？
恩亲爱的晚安|亲爱的晚安么么
不是她们俩|不是她们俩吗？
我喜欢苹果|我喜欢苹果手机
为什么为什么?|什么什么为什么
为了世界的和平|为了世界的破坏
极品中的战斗机|妖鸡中的战斗机
新年快乐啊!|新年快乐啊秋明
我想去希腊!|同样想去希腊!
叫什么名字|你叫什么名字？
是你的益达|不，是你的益达
你喜欢我么|那你喜欢我么？
sheldon|Sheldor
不开心。。。。|不要不开心。。
我觉得你不正常|我觉得你不爱我
sleepy|sosleep
ck.....|sm.....
想去旅行。|好想去旅行。。
你是个二货|对，你是个二货
